No tarea,tipo,Territorio,Gestor,Estado,Localidad,folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,folio,FCO,dias
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,-,-,En Abril Upaxer te regala gasolina 2020,71,E13215_BP Vista Hermosa,,158419,LIBRE,31/03/2020,14:11:56,1154561,32.659134,-115.42114,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,-,-,En Abril Upaxer te regala gasolina 2020,72,E11956_BP Montecarlo,,158420,LIBRE,31/03/2020,14:11:56,1154562,32.638126,-115.39249,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,-,-,En Abril Upaxer te regala gasolina 2020,80,E10496_BP Lázaro Cárdenas,,158424,LIBRE,31/03/2020,14:11:56,1154571,32.599648,-115.370094,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,-,-,En Abril Upaxer te regala gasolina 2020,86,E11024_BP Terán,,158427,LIBRE,31/03/2020,14:11:56,1154577,32.61353,-115.51478,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,-,-,En Abril Upaxer te regala gasolina 2020,87,E11055_BP Puebla,,158428,LIBRE,31/03/2020,14:11:56,1154578,32.56965,-115.33946,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,-,-,En Abril Upaxer te regala gasolina 2020,91,E12584_BP Islas Agrarias,,158429,LIBRE,31/03/2020,14:11:56,1154583,32.6138,-115.38198,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,-,-,En Abril Upaxer te regala gasolina 2020,92,E01827_BP Centro Cívico,,158430,LIBRE,31/03/2020,14:11:56,1154584,32.643635,-115.478052,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,-,-,En Abril Upaxer te regala gasolina 2020,93,E10456_BP CEG Gómez Morín,,158431,LIBRE,31/03/2020,14:11:56,1154585,32.620997,-115.418354,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,-,-,En Abril Upaxer te regala gasolina 2020,95,E10560_BP Río Nuevo,,158432,LIBRE,31/03/2020,14:11:56,1154587,32.650352,-115.48568,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,-,-,En Abril Upaxer te regala gasolina 2020,96,E12112_BP Américas,,158433,LIBRE,31/03/2020,14:11:56,1154588,32.66246,-115.44815,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,-,-,En Abril Upaxer te regala gasolina 2020,97,E12861_BP Portales,,158434,LIBRE,31/03/2020,14:11:56,1154589,32.595818,-115.4931,-,-,2
1,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,200100123,05/04/2020,Gana dinero pidiendo información de un producto del banco_1,5843,BA EKT MEXICALI COLEGIO MILITAR,,69303,LIBRE,,,1154834,32.644426,-115.505502,200100123,05/04/2020,1
1,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,PLAYAS DE ROSARITO,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,8332,BA EKT EL ROSARITO (8332),,118822,LIBRE,31/03/2020,12:56:51,1153612,32.358095,-117.058603,200300661,24/04/2020,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,PLAYAS DE ROSARITO,-,-,En Abril Upaxer te regala gasolina 2020,245,E10476_BP Puente Machado,,158512,LIBRE,31/03/2020,14:11:54,1154289,32.366006,-117.054458,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,PLAYAS DE ROSARITO,-,-,En Abril Upaxer te regala gasolina 2020,40,E12325_BP Rosarito,,158399,LIBRE,31/03/2020,14:11:55,1154421,32.399956,-117.0527,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,PLAYAS DE ROSARITO,-,-,En Abril Upaxer te regala gasolina 2020,73,E13216_BP Cantamar,,158421,LIBRE,31/03/2020,14:11:56,1154563,32.227231,-116.920619,-,-,2
1,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TECATE,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2367,BA EKT TECATE (2367),,118816,LIBRE,31/03/2020,12:56:49,1153304,32.573013,-116.63383,200300661,24/04/2020,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TECATE,-,-,En Abril Upaxer te regala gasolina 2020,41,E09098_BP Encino,,158400,LIBRE,31/03/2020,14:11:55,1154427,32.54594,-116.6254,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TECATE,-,-,En Abril Upaxer te regala gasolina 2020,61,E09627_BP Descanso,,158413,LIBRE,31/03/2020,14:11:56,1154550,32.570995,-116.6051,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TECATE,-,-,En Abril Upaxer te regala gasolina 2020,66,E02591_BP Napa,,158416,LIBRE,31/03/2020,14:11:56,1154555,32.57262,-116.63588,-,-,2
1,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,127,BA MEGA TIJUANA LAS TORRES (127),,118813,LIBRE,31/03/2020,12:56:48,1153178,32.477984,-116.875817,200300661,24/04/2020,2
1,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5568,BA MEGA TIJUANA EL FLORIDO (5568),,118814,LIBRE,31/03/2020,12:56:50,1153463,32.497613,-116.887342,200300661,24/04/2020,2
1,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,6012,BA EKT TIJUANA PLAZA GIRASOL (6012),,118828,LIBRE,31/03/2020,12:56:50,1153491,32.44517,-117.03337,200300661,24/04/2020,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,105,E12808_BP Casa Blanca,,158438,LIBRE,31/03/2020,14:11:53,1154142,32.502133,-116.880225,-,-,2
