id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores,c,p
118685,PAX 118685,Verde [< 180 Días],19.13730439,-98.28077595,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72680,MEXICO
119018,PAX 119018,Verde [< 180 Días],19.13830439,-98.27977595,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72680,MEXICO
109322,PAX 109322,Verde [< 180 Días],19.04437326,-98.28116754,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72810,MEXICO
108040,PAX 108040,Verde [< 180 Días],26.0446525,-98.27925862,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88760,MEXICO
108056,PAX 108056,Verde [< 180 Días],25.98993377,-98.27803537,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88796,MEXICO
108003,PAX 108003,Verde [< 180 Días],26.08731683,-98.27116768,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88560,MEXICO
105766,PAX 105766,Verde [< 180 Días],19.0054695,-98.26519333,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72830,MEXICO
107205,PAX 107205,Verde [< 180 Días],19.0064695,-98.26419333,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72830,MEXICO
107538,PAX 107538,Verde [< 180 Días],19.0074695,-98.26319333,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72830,MEXICO
117769,PAX 117769,Verde [< 180 Días],19.09424639,-98.26343214,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72700,MEXICO
108662,PAX 108662,Verde [< 180 Días],26.06287636,-98.26711862,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88687,MEXICO
118895,PAX 118895,Verde [< 180 Días],18.9796761,-98.26289136,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72498,MEXICO
116939,PAX 116939,Verde [< 180 Días],19.3186,-98.2639,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,90379,MEXICO
107853,PAX 107853,Verde [< 180 Días],26.00782424,-98.25858144,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88799,MEXICO
107923,PAX 107923,Verde [< 180 Días],26.00882424,-98.25758144,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88799,MEXICO
107992,PAX 107992,Verde [< 180 Días],26.00982424,-98.25658144,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88799,MEXICO
