id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores
106645,PAX 106645,1. Naranja [dos trimestres],31.31956804,-113.530486,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
105044,PAX 105044,1. Naranja [dos trimestres],31.32491729,-113.5121386,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
59489,PAX 59489,1. Naranja [dos trimestres],30.72699618,-112.1763078,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
61135,PAX 61135,1. Naranja [dos trimestres],30.71333771,-112.1748976,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
74166,PAX 74166,1. Naranja [dos trimestres],30.70003056,-112.148208,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
12790,PAX 12790,1. Naranja [dos trimestres],25.03388711,-111.6700846,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
14865,PAX 14865,1. Naranja [dos trimestres],29.0860525,-111.041027,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
74578,PAX 74578,1. Naranja [dos trimestres],29.0870525,-111.040027,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
66677,PAX 66677,1. Naranja [dos trimestres],29.17455946,-111.0206538,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
102957,PAX 102957,1. Naranja [dos trimestres],29.14327573,-111.0187109,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
108104,PAX 108104,1. Naranja [dos trimestres],29.14341573,-110.9863376,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
104645,PAX 104645,1. Naranja [dos trimestres],29.0839099,-110.9861509,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
105247,PAX 105247,1. Naranja [dos trimestres],29.0849099,-110.9851509,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
105918,PAX 105918,1. Naranja [dos trimestres],29.0859099,-110.9841509,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
65257,PAX 65257,1. Naranja [dos trimestres],29.09198045,-110.9853133,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
103549,PAX 103549,1. Naranja [dos trimestres],29.06062055,-110.9757228,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
107246,PAX 107246,1. Naranja [dos trimestres],30.62892179,-110.9643184,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
106228,PAX 106228,1. Naranja [dos trimestres],30.62992179,-110.9633184,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
106940,PAX 106940,1. Naranja [dos trimestres],30.63092179,-110.9623184,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
101163,PAX 101163,1. Naranja [dos trimestres],31.31387096,-110.9640358,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
99441,PAX 99441,1. Naranja [dos trimestres],29.09657699,-110.9629778,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
93267,PAX 93267,1. Naranja [dos trimestres],29.08105709,-110.9617341,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
98428,PAX 98428,1. Naranja [dos trimestres],29.08205709,-110.9607341,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
101132,PAX 101132,1. Naranja [dos trimestres],31.31336824,-110.9524548,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
69368,PAX 69368,1. Naranja [dos trimestres],31.31436824,-110.9514548,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
104544,PAX 104544,1. Naranja [dos trimestres],31.31536824,-110.9504548,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
100227,PAX 100227,1. Naranja [dos trimestres],31.28100021,-110.9519575,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
40278,PAX 40278,1. Naranja [dos trimestres],29.03537464,-110.950664,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
98728,PAX 98728,1. Naranja [dos trimestres],29.08150019,-110.940012,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
