id,nombre,concat,edo,mun,latitude,longitude,tipo
209,BA EKT COATZACOALCOS UNIVERSIDAD,209 - BA EKT COATZACOALCOS UNIVERSIDAD,Veracruz de Ignacio de la Llave,Coatzacoalcos,18.142204,-94.476562,Banco Azteca
210,BA EKT LEON ALEMAN,210 - BA EKT LEON ALEMAN,Guanajuato,León,21.121463,-101.686729,Banco Azteca
212,BA EKT TUXTEPEC INDEPENDENCIA,212 - BA EKT TUXTEPEC INDEPENDENCIA,Oaxaca,San Juan Bautista Tuxtepec,18.080733,-96.120724,Banco Azteca
213,BA EKT XALAPA LAZARO CARDENAS,213 - BA EKT XALAPA LAZARO CARDENAS,Veracruz de Ignacio de la Llave,Xalapa,19.538363,-96.907027,Banco Azteca
214,BA EKT CHETUMAL HEROES,214 - BA EKT CHETUMAL HEROES,Quintana Roo,Othón P. Blanco,18.495851,-88.296719,Banco Azteca
215,BA EKT CELAYA MORELOS,215 - BA EKT CELAYA MORELOS,Guanajuato,Celaya,20.521496,-100.813044,Banco Azteca
218,BA MEGA OAXACA SIMBOLOS PATRIOS,218 - BA MEGA OAXACA SIMBOLOS PATRIOS,Oaxaca,Oaxaca de Juárez,17.033736,-96.714414,Banco Azteca
238,Agua Azul,238 - Agua Azul,México,Nezahualcóyotl,19.412592,-99.038994,NETO
243,DAZ ALMOLOYA DEL RIO,243 - DAZ ALMOLOYA DEL RIO,México,Almoloya del Río,19.16364,-99.487327,Banco Azteca
252,DAZ CHAMPOTON,252 - DAZ CHAMPOTON,Campeche,Champotón,19.347863,-90.723961,Banco Azteca
257,DAZ PEÑUELA AMATLAN VERACRUZ,257 - DAZ PEÑUELA AMATLAN VERACRUZ,Veracruz de Ignacio de la Llave,Amatlán de los Reyes,18.864145,-96.897825,Banco Azteca
259,BA MEGA CD VICTORIA,259 - BA MEGA CD VICTORIA,Tamaulipas,Victoria,23.73651,-99.135642,Banco Azteca
266,BA SYR CAPU,266 - BA SYR CAPU,Puebla,Puebla,19.071424,-98.205849,Banco Azteca
267,BA SYR CORDOBA,267 - BA SYR CORDOBA,Veracruz de Ignacio de la Llave,Córdoba,18.892868,-96.933899,Banco Azteca
276,Acambaro,276 - Acambaro,Guanajuato,Acámbaro,20.031005,-100.719055,NETO
277,Vallarta,277 - Vallarta,Guerrero,Acapulco de Juárez,16.862035,-99.901782,NETO
278,Coloso,278 - Coloso,Guerrero,Acapulco de Juárez,16.846552,-99.812483,NETO
282,DAZ OMETEPEC GUERRERO,282 - DAZ OMETEPEC GUERRERO,Guerrero,Ometepec,16.689943,-98.407328,Banco Azteca
301,BA EKT INGUARAN,301 - BA EKT INGUARAN,Ciudad de México,Gustavo A. Madero,19.462724,-99.112934,Banco Azteca
317,DAZ AZOYU GUERRERO,317 - DAZ AZOYU GUERRERO,Guerrero,Azoyú,16.733787,-98.600502,Banco Azteca
319,DAZ CAMICHINES JALISCO,319 - DAZ CAMICHINES JALISCO,Jalisco,Tonalá,20.629095,-103.275943,Banco Azteca
320,DAZ ATEMPAN,320 - DAZ ATEMPAN,Puebla,Atempan,19.839094,-97.458321,Banco Azteca
326,DAZ ACAMBAY,326 - DAZ ACAMBAY,México,Acambay de Ruíz Castañeda,19.955748,-99.846711,Banco Azteca
328,DAZ ATLATLAHUACAN,328 - DAZ ATLATLAHUACAN,Morelos,Atlatlahucan,18.934561,-98.897761,Banco Azteca
364,DAZ ACUÑA,364 - DAZ ACUÑA,Coahuila de Zaragoza,Acuña,29.327232,-100.976032,Banco Azteca
367,DAZ OLINALA GUERRERO,367 - DAZ OLINALA GUERRERO,Guerrero,Olinalá,17.777826,-98.740493,Banco Azteca
374,DAZ PLAZA BELLA OAXACA,374 - DAZ PLAZA BELLA OAXACA,Oaxaca,Oaxaca de Juárez,17.074689,-96.758281,Banco Azteca
380,DAZ VILLA CORZO,380 - DAZ VILLA CORZO,Chiapas,Villa Corzo,16.170363,-93.074746,Banco Azteca
381,DAZ COACOLMAN,381 - DAZ COACOLMAN,Michoacán de Ocampo,Coalcomán de Vázquez Pallares,18.777141,-103.160427,Banco Azteca
382,DAZ TUZANTLA,382 - DAZ TUZANTLA,Michoacán de Ocampo,Tuzantla,19.207374,-100.573005,Banco Azteca
408,BA EKT PUEBLA 1 CENTRO,408 - BA EKT PUEBLA 1 CENTRO,Puebla,Puebla,19.046018,-98.201452,Banco Azteca
414,DAZ OJO CALIENTE,414 - DAZ OJO CALIENTE,Zacatecas,Ojocaliente,22.570919,-102.249635,Banco Azteca
424,BA BDR CHALCO,424 - BA BDR CHALCO,México,Chalco,19.26377,-98.898621,Banco Azteca
428,DAZ CHAVINDA,428 - DAZ CHAVINDA,Michoacán de Ocampo,Tangamandapio,19.954558,-102.433909,Banco Azteca
429,DAZ RIO GRANDE,429 - DAZ RIO GRANDE,Oaxaca,Villa de Tututepec de Melchor Ocampo,16.009802,-97.437388,Banco Azteca
430,DAZ ZIMATLAN,430 - DAZ ZIMATLAN,Oaxaca,Zimatlán de Álvarez,16.869598,-96.783984,Banco Azteca
456,Valle Verde,456 - Valle Verde,México,Ixtapaluca,19.309515,-98.91498,NETO
466,BA EKT GUADALUPE ZACATECAS,466 - BA EKT GUADALUPE ZACATECAS,Zacatecas,Guadalupe,22.749886,-102.520105,Banco Azteca
479,BA EKT TEJUPILCO,479 - BA EKT TEJUPILCO,México,Tejupilco,18.905172,-100.1533,Banco Azteca
482,BA EKT VALLE SANTIAGO,482 - BA EKT VALLE SANTIAGO,Guanajuato,Valle de Santiago,20.391246,-101.18302,Banco Azteca
495,BA EKT APODACA,495 - BA EKT APODACA,Nuevo León,Apodaca,25.780813,-100.188591,Banco Azteca
518,BA EKT QUERETARO REFORMA,518 - BA EKT QUERETARO REFORMA,Querétaro,Querétaro,20.593112,-100.393643,Banco Azteca
534,BA EKT TICUL,534 - BA EKT TICUL,Yucatán,Ticul,20.397841,-89.537134,Banco Azteca
547,BA EKT CASAS GRANDES,547 - BA EKT CASAS GRANDES,Chihuahua,Nuevo Casas Grandes,30.416175,-107.913619,Banco Azteca
550,BA MEGA NUEVO LAREDO DR MIER,550 - BA MEGA NUEVO LAREDO DR MIER,Tamaulipas,Nuevo Laredo,27.494808,-99.549611,Banco Azteca
563,BA MEGA ZAPOPAN,563 - BA MEGA ZAPOPAN,Jalisco,Zapopan,20.722443,-103.390991,Banco Azteca
576,BA MEGA CALPULALPAN,576 - BA MEGA CALPULALPAN,Tlaxcala,Calpulalpan,19.587153,-98.569001,Banco Azteca
592,BA MEGA ZINACANTEPEC,592 - BA MEGA ZINACANTEPEC,México,Zinacantepec,19.288398,-99.734309,Banco Azteca
602,BA EKT LEON 2 PINO SUAREZ,602 - BA EKT LEON 2 PINO SUAREZ,Guanajuato,León,21.119504,-101.683182,Banco Azteca
615,BA MEGA EMILIANO ZAPATA,615 - BA MEGA EMILIANO ZAPATA,Morelos,Emiliano Zapata,18.840157,-99.184365,Banco Azteca
628,BA MEGA MAGDALENA DE KINO,628 - BA MEGA MAGDALENA DE KINO,Sonora,Magdalena,30.629842,-110.970638,Banco Azteca
631,BA MEGA SAN MATEO ATENCO,631 - BA MEGA SAN MATEO ATENCO,México,San Mateo Atenco,19.265324,-99.529582,Banco Azteca
644,BA MEGA AGUA PRIETA,644 - BA MEGA AGUA PRIETA,Sonora,Agua Prieta,31.331232,-109.559696,Banco Azteca
657,BA MEGA CABORCA,657 - BA MEGA CABORCA,Sonora,Caborca,30.712287,-112.148065,Banco Azteca
660,BA MEGA SANTIAGO PAPASQUIARO,660 - BA MEGA SANTIAGO PAPASQUIARO,Durango,Santiago Papasquiaro,25.046657,-105.420181,Banco Azteca
673,BA MEGA MIRAMONTES,673 - BA MEGA MIRAMONTES,Ciudad de México,Coyoacán,19.309373,-99.131117,Banco Azteca
708,DAZ SAN DIEGO DE LA UNION,708 - DAZ SAN DIEGO DE LA UNION,Guanajuato,San Diego de la Unión,21.465147,-100.872711,Banco Azteca
709,BA EKT MEGA CORDOBA,709 - BA EKT MEGA CORDOBA,Veracruz de Ignacio de la Llave,Córdoba,18.894117,-96.930544,Banco Azteca
710,DAZ SANTA CLARA DEL COBRE,710 - DAZ SANTA CLARA DEL COBRE,Michoacán de Ocampo,Salvador Escalante,19.403777,-101.639914,Banco Azteca
711,DAZ COTIJA HIDALGO,711 - DAZ COTIJA HIDALGO,Michoacán de Ocampo,Cotija,19.810625,-102.705552,Banco Azteca
713,DAZ MICHOACAN PARACHO,713 - DAZ MICHOACAN PARACHO,Michoacán de Ocampo,Paracho,19.644284,-102.048747,Banco Azteca
714,DAZ ACALA,714 - DAZ ACALA,Chiapas,Acala,16.553691,-92.805936,Banco Azteca
715,DAZ TIZAPAN EL ALTO,715 - DAZ TIZAPAN EL ALTO,Jalisco,Tizapán el Alto,20.160061,-103.04451,Banco Azteca
716,DAZ COYUTLA,716 - DAZ COYUTLA,Veracruz de Ignacio de la Llave,Coyutla,20.247449,-97.659796,Banco Azteca
717,DAZ JUXTLAHUACA OAXACA,717 - DAZ JUXTLAHUACA OAXACA,Oaxaca,Santiago Juxtlahuaca,17.333,-98.0111,Banco Azteca
718,DAZ CRUZ GRANDE,718 - DAZ CRUZ GRANDE,Guerrero,Florencio Villarreal,16.724344,-99.123921,Banco Azteca
720,DAZ CARRILLO PUERTO,720 - DAZ CARRILLO PUERTO,Quintana Roo,Felipe Carrillo Puerto,19.578407,-88.044249,Banco Azteca
721,DAZ CD RAFAEL LARA GRAJALES,721 - DAZ CD RAFAEL LARA GRAJALES,Puebla,Rafael Lara Grajales,19.2268,-97.8029,Banco Azteca
722,DAZ JANTETELCO,722 - DAZ JANTETELCO,Morelos,Jantetelco,18.720922,-98.793861,Banco Azteca
723,DAZ CUTZAMALA DE PINZON,723 - DAZ CUTZAMALA DE PINZON,Guerrero,Cutzamala de Pinzón,18.467115,-100.581112,Banco Azteca
724,DAZ HUATUSCO DE CHICUELLAR,724 - DAZ HUATUSCO DE CHICUELLAR,Veracruz de Ignacio de la Llave,Huatusco,19.151333,-96.962444,Banco Azteca
726,DAZ VILLA DE TAMAZULAPAN DEL PROGRESO,726 - DAZ VILLA DE TAMAZULAPAN DEL PROGRESO,Oaxaca,Villa de Tamazulápam del Progreso,17.6723,-97.57496,Banco Azteca
727,DAZ ATENCINGO,727 - DAZ ATENCINGO,Puebla,Chietla,18.508844,-98.610725,Banco Azteca
729,DAZ JUAN ALDAMA,729 - DAZ JUAN ALDAMA,Zacatecas,Juan Aldama,24.292618,-103.392463,Banco Azteca
