No tarea,tipo,Territorio,Gestor,Estado,Localidad,Folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,Folio,FCO,dias
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,TIJUANA,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,TDA_TIJ_PLZ_003,TDA TIJUANA PLAZA SENDERO,PAX115705,62268,TOMADA POR USUARIO,10/12/2019,12:36:03,1086188,32.456626,-116.835784,19102161,20/12/2019,0
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,TIJUANA,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,UNOTIJN11,UNO PLAZA 2000 TIJ,PAX61255,61224,TOMADA POR USUARIO,10/12/2019,08:26:20,1079402,32.492401,-116.851517,19102161,20/12/2019,0
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,TIJUANA,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,,WIMO CASA BLANCA,PAX61255,176729,TOMADA POR USUARIO,09/12/2019,15:53:58,1078026,32.498933,-116.908329,19102161,20/12/2019,1
3,Sin Terminar,Norte,Isai ,BAJA CALIFORNIA,TIJUANA,19071665,30/09/2019,Este año sé El Motociclista Misterioso,2902,2902-GR MOTOCICLETAS,PAX61661,106277,ASIGNADA POR SISTEMA,05/12/2019,12:15:54,1086108,32.544527,-116.925309,19071665,30/09/2019,5
3,Sin Terminar,Norte,Isai ,BAJA CALIFORNIA,TIJUANA,19071665,30/09/2019,Este año sé El Motociclista Misterioso,2951,2951-MOTOSERVICIO TIJUANA,alirae,106298,ASIGNADA POR SISTEMA,04/12/2019,10:22:38,1083206,32.47279,-116.93395,19071665,30/09/2019,6
1,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA SUR,IZTAPALAPA,19100087,20/12/2019,Gana dinero pidiendo información de productos en un banco 4-2019,7582,BA EKT ESTACIONAMIENTO CABO SAN LUCAS,PAX91128,33208,ASIGNADA POR SISTEMA,10/12/2019,10:49:25,1088832,22.893616,-109.9161,19100087,20/12/2019,0
8,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA SUR,LORETO,19112377,20/12/2019,En Diciembre Upaxer te invita al cine Platino Mix y además gana dinero,,Puerto Paraiso P,PAX69567,158846,TOMADA POR USUARIO,09/12/2019,19:29:27,1082378,22.888668,-109.90895,19112377,20/12/2019,1
1,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA SUR,PAZ LA,19120048,20/12/2019,En Diciembre descubre cuánto vale tu prenda de Oro,5116,BA EKT LA PAZ FORJADORES (5116),PAX65189,118888,TOMADA POR USUARIO,10/12/2019,09:29:30,1080951,24.138177,-110.31234,19120048,20/12/2019,0
1,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA SUR,PAZ LA,19120048,20/12/2019,En Diciembre descubre cuánto vale tu prenda de Oro,5429,BA MEGA LA PAZ OCAMPO (5429),PAX69567,118890,TOMADA POR USUARIO,10/12/2019,13:43:59,1080970,24.158091,-110.316588,19120048,20/12/2019,0
1,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA SUR,PAZ LA,19120035,20/12/2019,En Diciembre y Enero recorre los pasillos de una tienda departamental,5116,EKT LA PAZ FORJADORES,PAX65189,3340,TOMADA POR USUARIO,10/12/2019,09:29:53,1080044,24.138184,-110.312675,19120035,20/12/2019,0
