id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores
105165,PAX 105165,Solo Conekta,20.62448108,-103.3580399,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
101551,PAX 101551,Solo Conekta,20.73196964,-103.3579345,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
105642,PAX 105642,Solo Conekta,20.67300939,-103.3536188,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
104557,PAX 104557,Solo Conekta,20.70916133,-103.3510901,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
96797,PAX 96797,Solo Conekta,24.47674534,-103.350663,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
77381,PAX 77381,Solo Conekta,20.67661165,-103.345723,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
102470,PAX 102470,Solo Conekta,20.72828029,-103.3460815,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
79690,PAX 79690,Solo Conekta,20.59552159,-103.3345185,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
99235,PAX 99235,Solo Conekta,20.63723062,-103.3244211,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
105164,PAX 105164,Solo Conekta,20.63823062,-103.3234211,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
93133,PAX 93133,Solo Conekta,20.72791951,-103.3164173,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
102848,PAX 102848,Solo Conekta,21.78574245,-103.2980112,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
105199,PAX 105199,Solo Conekta,20.54258588,-103.2892392,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
101759,PAX 101759,Solo Conekta,20.66607429,-103.2841196,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
104280,PAX 104280,Solo Conekta,20.65919842,-103.2772538,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
105597,PAX 105597,Solo Conekta,20.66019842,-103.2762538,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
38023,PAX 38023,Solo Conekta,20.67936308,-103.2789198,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
62243,PAX 62243,Solo Conekta,20.68036308,-103.2779198,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
104648,PAX 104648,Solo Conekta,20.67109658,-103.279421,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
101936,PAX 101936,Solo Conekta,20.68351414,-103.2652623,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
105141,PAX 105141,Solo Conekta,20.63111002,-103.25715,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
105798,PAX 105798,Solo Conekta,20.65079362,-103.2562322,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
87616,PAX 87616,Solo Conekta,19.67615462,-103.2568343,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
106408,PAX 106408,Solo Conekta,20.65995652,-103.2430008,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
99585,PAX 99585,Solo Conekta,20.57051809,-103.2118438,DIC [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
104295,PAX 104295,Solo Conekta,20.29659914,-103.1921843,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
101594,PAX 101594,Solo Conekta,20.61573819,-103.1838801,DIC [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
106269,PAX 106269,Solo Conekta,22.64881741,-102.9976214,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
102862,PAX 102862,Solo Conekta,20.80894159,-102.7660197,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
97995,PAX 97995,Solo Conekta,20.81652503,-102.7594369,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
102433,PAX 102433,Solo Conekta,21.87328683,-102.6829671,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
104466,PAX 104466,Solo Conekta,22.75053575,-102.5868655,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
70646,PAX 70646,Solo Conekta,22.77659417,-102.5840124,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
101812,PAX 101812,Solo Conekta,21.43330981,-102.567668,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
105586,PAX 105586,Solo Conekta,20.29045225,-102.5426478,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
102850,PAX 102850,Solo Conekta,22.76294745,-102.5320502,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
